Date,Campaign Group,Cost,Impressions ,Clicks ,CPC ,CTR ,Close Rate ,Quotes ,Sales ,CPQ ,CPS 
6/1/2020,Prospecting - Native,3372.04,0,6971,0.483723999,0.002966383,0.032258,31,1,108.7754839,3372.04
6/1/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
6/1/2020,RT - Discovery,3383.9428,234234,5674,0.596394572,0.02422364,0.132075,53,7,63.84797736,483.4204
6/1/2020,RT - Display,3459.21,287378,724,4.777914365,0.00251933,0.108696,46,5,75.20021739,691.842
6/1/2020,RT - Facebook,4662.09,248315,548,8.507463504,0.002206874,0.041667,48,2,97.126875,2331.045
6/1/2020,RT - Native,0,0,0,0,0,0.111111,9,1,0,0
6/1/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
6/2/2020,Brand Search - Bing,6654.28,10227,1705,3.902803519,0.166715557,0.144578,249,36,26.72401606,184.8411111
6/2/2020,Brand Search - Google,87431.2877,16036,8114,10.77536205,0.50598653,0.152689,3589,548,24.3609049,159.5461454
6/2/2020,Monetization ,651.31,387163,1274,0.511232339,0.003290604,0,0,0,0,0
6/2/2020,NB Search - Bing,1100.21,1375,80,13.752625,0.058181818,0.103448,29,3,37.93827586,366.7366667
6/2/2020,NB Search - Google,42427.32,16726,1495,28.37947826,0.089381801,0.075524,715,54,59.33890909,785.6911111
6/2/2020,Prospecting - Discovery,18852.1472,1996416,133595,0.141114167,0.066917416,0.061372,277,17,68.05829314,1108.949835
6/2/2020,Prospecting - Facebook,5136.5599,855752,1510,3.401695298,0.00176453,0.025381,197,5,26.07390812,1027.31198
6/2/2020,Prospecting - Native,3798.92,0,7396,0.513645214,0.002656612,0.020408,49,1,77.52897959,3798.92
6/2/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
6/2/2020,RT - Discovery,3341.8507,260333,5793,0.576877387,0.022252269,0.056604,53,3,63.05378679,1113.950233
6/2/2020,RT - Display,6041.1,319238,831,7.26967509,0.002603074,0.069767,43,3,140.4906977,2013.7
6/2/2020,RT - Facebook,2015.3501,115304,264,7.633901894,0.0022896,0.068966,29,2,69.49483103,1007.67505
6/2/2020,RT - Native,0,0,0,0,0,0,10,0,0,0
6/2/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
6/3/2020,Brand Search - Bing,7358.49,9720,2021,3.641014349,0.207921811,0.150735,272,41,27.05327206,179.4753659
6/3/2020,Brand Search - Google,85946.8907,16093,8318,10.33263894,0.516870689,0.152954,3792,580,22.66531928,148.1842943
6/3/2020,Monetization ,1882.3401,1132923,3640,0.517126401,0.003212928,0,0,0,0,0
6/3/2020,NB Search - Bing,1221.76,1398,92,13.28,0.065808298,0.119048,42,5,29.08952381,244.352
6/3/2020,NB Search - Google,43010.53,17272,1544,27.85656088,0.089393238,0.074334,713,53,60.32332398,811.519434
6/3/2020,Prospecting - Discovery,20194.8506,1873608,126443,0.159715054,0.067486369,0.048544,309,15,65.35550356,1346.323373
6/3/2020,Prospecting - Facebook,13149.1599,2510543,4139,3.176892945,0.001648647,0.013514,370,5,35.53827,2629.83198
6/3/2020,Prospecting - Native,2910.5,0,3453,0.84289024,0.001724682,0.035714,28,1,103.9464286,2910.5
6/3/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
6/3/2020,RT - Discovery,3327.4809,228639,5622,0.591867823,0.024588981,0.058824,51,3,65.24472353,1109.1603
6/3/2020,RT - Display,4300.552,318952,859,5.006463329,0.002693195,0.102041,49,5,87.76636735,860.1104
6/3/2020,RT - Facebook,5227.63,328037,677,7.721757755,0.002063792,0.0625,64,4,81.68171875,1306.9075
6/3/2020,RT - Native,0,0,0,0,0,0.285714,7,2,0,0
6/3/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
6/4/2020,Brand Search - Bing,7595.05,10190,1941,3.912957239,0.190480864,0.175,280,49,27.12517857,155.0010204
6/4/2020,Brand Search - Google,91824.9462,15753,8265,11.11009633,0.524661969,0.138097,3751,518,24.48012429,177.2682359
6/4/2020,Monetization ,1914.12,1237634,3909,0.489669992,0.003158446,0,0,0,0,0
6/4/2020,NB Search - Bing,1004.31,1308,76,13.21460526,0.058103976,0.033333,30,1,33.477,1004.31
6/4/2020,NB Search - Google,42244.89,16957,1494,28.27636546,0.088105207,0.06639,723,48,58.43,880.101875
6/4/2020,Prospecting - Discovery,29394.374,2292464,236316,0.124385882,0.103083843,0.027027,444,12,66.20354505,2449.531167
6/4/2020,Prospecting - Facebook,13347.4903,2176329,3529,3.782230179,0.001621538,0.020942,382,8,34.94107408,1668.436288
6/4/2020,Prospecting - Native,2951.17,0,3014,0.979153948,0.001802149,0.043478,23,1,128.3117391,2951.17
6/4/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
6/4/2020,RT - Discovery,3467.2398,222336,5783,0.599557289,0.026010183,0.074074,54,4,64.20814444,866.80995
6/4/2020,RT - Display,6699.2,364605,833,8.042256903,0.002284664,0.142857,49,7,136.7183673,957.0285714
6/4/2020,RT - Facebook,5337,297077,627,8.511961722,0.002110564,0.015873,63,1,84.71428571,5337
6/4/2020,RT - Native,0,0,0,0,0,0.166667,12,2,0,0
6/4/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
6/5/2020,Brand Search - Bing,7066.51,7794,1366,5.173140556,0.175263023,0.19697,264,52,26.76708333,135.8944231
6/5/2020,Brand Search - Google,92765.99,16077,8354,11.10437994,0.519624308,0.149135,3527,526,26.30166997,176.3611977
6/5/2020,Monetization ,1914.08,1115248,4121,0.464469789,0.003695142,0,0,0,0,0
6/5/2020,NB Search - Bing,546.26,975,42,13.00619048,0.043076923,0.176471,17,3,32.13294118,182.0866667
6/5/2020,NB Search - Google,38261.79,15740,1362,28.09235683,0.086531131,0.080997,642,52,59.59780374,735.8036538
6/5/2020,Prospecting - Discovery,34335.8088,2814824,336561,0.102019571,0.119567334,0.02445,409,10,83.95063276,3433.58088
